"","zone","state","N.child","prop.lowstart","prop.highby30","p.upmover","Urban","Black","Seg_racial","Seg_income","Seg_poverty","Seg_affluence","Commute","Income","Gini","Share01","Gini_99","Middle_class","Local_tax_rate","Local_gov_spending","Progressivity","EITC","School_spending","Student_teacher_ratio","Test_scores","HS_dropout","Colleges","Tuition","Graduation","Labor_force_participation","Manufacturing","Chinese_imports","Teenage_labor","Migration_in","Migration_out","Foreign_born","Social_capital","Religious","Violent_crime","Single_mothers","Divorced","Married","Longitude","Latitude"
"39000","Yakima","WA",20483,0.243,0.176,0.082,1,0.008,0.235,0.069,0.066,0.069,0.427,30403,0.442,10.008,0.342,0.533,0.015,2138,0,0,7.026,20.9,-10.483,NA,0.012,2524,0.104,0.622,0.107,0.799,0.004,0.019,0.023,0.154,-0.709,0.377,0.002,0.213,0.094,0.558,-120.93709564209,46.9831886291504
"3901","Monroe","LA",22688,0.383,0.159,0.055,1,0.337,0.32,0.07,0.066,0.075,0.341,29496,0.571,15.644,0.414,0.414,0.019,1532,4,0,4.623,17,-6.315,0.046,0.02,1720,-0.055,0.586,0.121,0.295,0.002,0.011,0.015,0.009,-0.459,0.583,0.004,0.307,0.094,0.527,-91.7262649536133,32.3551597595215
"39201","La Grande","OR",3757,0.209,0.17,0.088,0,0.004,0.016,0.022,0.02,0.021,0.645,31277,0.361,7.199,0.289,0.612,0.025,2002,0,1.19,6.108,18.4,4.022,-0.015,0.024,2316,-0.049,0.59,0.118,1.051,0.004,0.015,0.019,0.023,0.533,0.335,0.001,0.201,0.113,0.594,-117.899185180664,44.9051361083984
"39203","Bend","OR",11647,0.187,0.164,0.082,1,0.002,0.168,0.039,0.028,0.049,0.474,37787,0.441,11.325,0.327,0.57,0.029,2574,0,1.19,6.638,20.9,-1.345,0.003,0.007,2169,-0.27,0.643,0.13,0.366,0.005,0.058,0.028,0.037,0.325,0.274,0.001,0.184,0.112,0.616,-121.15111541748,44.2248649597168
"39301","Friday Harbor","WA",914,0.194,0.147,0.102,0,0.002,0.01,0.012,0.022,0.001,0.628,58628,0.796,60.527,0.19,0.56,0.018,2971,0,0,6.766,18.3,-3.884,NA,NA,NA,NA,0.587,0.063,0.821,0.007,0.024,0.021,0.06,2.716,0.171,0,0.219,0.148,0.604,-123.052955627441,48.5253791809082
"39302","Bellingham","WA",11907,0.153,0.226,0.116,1,0.006,0.057,0.046,0.051,0.042,0.418,35491,0.416,12.245,0.294,0.564,0.021,2615,0,0,5.912,21.1,5.12,NA,0.024,2682,0.186,0.665,0.122,1.324,0.005,0.034,0.028,0.098,0.063,0.294,0.001,0.195,0.099,0.538,-121.263442993164,48.8311538696289
"4001","Magnolia","AR",2896,0.337,0.174,0.06,0,0.36,0.071,0.022,0.018,0.027,0.463,29001,0.446,7.52,0.371,0.469,0.011,1256,1,0,4.759,16.6,-11.371,0,0.029,2304,-0.02,0.557,0.252,1.749,0.002,0.01,0.016,0.009,-0.504,0.618,0.005,0.277,0.092,0.524,-93.628547668457,33.2614669799805
"4003","Ruston","LA",6181,0.324,0.194,0.069,0,0.355,0.207,0.04,0.04,0.038,0.464,24715,0.511,11.456,0.396,0.466,0.017,1398,4,0,4.639,15.5,-4.971,0.02,0.053,2677,0.035,0.554,0.139,0.794,0.002,0.016,0.021,0.014,-0.936,0.568,0.003,0.287,0.08,0.487,-92.6748275756836,32.1847763061523
"4101","Crossett","AR",2161,0.301,0.153,0.042,0,0.269,0.054,0.011,0.009,0.015,0.502,30093,0.44,7.41,0.366,0.496,0.015,1467,1,0,4.643,17.4,-11.593,0.009,NA,NA,NA,0.561,0.275,1.062,0.003,0.01,0.017,0.023,-0.183,0.799,0.002,0.225,0.097,0.59,-92.0092163085938,33.1967811584473
"4103","El Dorado","AR",7974,0.323,0.152,0.057,0,0.344,0.093,0.022,0.023,0.023,0.437,30514,0.449,9.389,0.355,0.495,0.013,1390,1,0,4.725,16.6,-9.728,0.005,0.022,1244,-0.069,0.562,0.272,1.452,0.003,0.009,0.013,0.01,-0.212,0.672,0.002,0.27,0.106,0.555,-92.5011444091797,33.5784034729004
"4301","Stuttgart","AR",3451,0.344,0.141,0.054,0,0.249,0.113,0.018,0.023,0.015,0.529,30500,0.445,9.649,0.349,0.474,0.013,1427,1,0,4.673,15.9,-12.254,0.013,NA,NA,NA,0.578,0.2,6.22,0.004,0.012,0.016,0.004,-0.367,0.658,0.001,0.274,0.111,0.568,-91.3426666259766,34.4396324157715
